goudenpiratenhits	http://178.19.116.3:8026/stream	0
Oudepiratenhits.nl	http://server-67.stream-server.nl:8910/stream	0
Radio Continu	http://stream.radiocontinu.nl/radio-continu	0
Hitzzz!!	http://stream.hitzzz.nl/hitzzz	0
Tukker FM (Sneek)	http://stream.tukkerfm.nl/tukkerfm	0
Piraten Stream Twente	http://stream.piratentwente.com:8020/live	0
PiratenHits Twente	http://server-23.stream-server.nl:8454/;	0
Twentse Super Combinatie	http://77.168.22.74:9016/stream	0
Zendpiraat.com	http://cc6.beheerstream.com/proxy/wluhlvrs?mp=/stream	0
piraten club	http://213.202.241.176:8417/stream	0
cobra team  piraat	http://server-25.stream-server.nl:8496/stream	0
piraten familie	http://stream1.icehosting.nl:8492/;	0
piraten gigant	http://server-24.stream-server.nl:8402/listen.pls	0
veluwse piraten	http://server-26.stream-server.nl:8624/;	0
piratenzender.com 1	http://sidebar.piratenzenders.com/Groningen-1.pls	0
piratenzender.com 2	http://sidebar.piratenzenders.com/Groningen-2.pls	0
piratenzender.com 3	http://sidebar.piratenzenders.com/Groningen-3.pls	0
piratenzender.com 4	http://sidebar.piratenzenders.com/Groningen-4.pls	0
piratenzender.com 5	http://sidebar.piratenzenders.com/Groningen-5.pls	0
piratenzender.com 9	http://sidebar.piratenzenders.com/Groningen-9.pls	0
internet piraten	http://213.202.241.176:8678/stream	0
completeteam  piraat	http://server-23.stream-server.nl:8474/;stream.mp3	0
Kei FM (Amersfoort)	http://54.36.89.71:8205/stream	0
Moonlight Radio piraat	http://server-67.stream-server.nl:8780/stream	0
Kleine Piraat Internetradio	http://kleinepiraat.ic-stream.nl:7030/;stream/1	0
PiratenRadio.nl	http://piratenradio.nl:8200/;	0
ariba radio   piraat	http://kathy.torontocast.com:1730/stream	0
de beste piraten	http://185.10.48.127:8348/stream	0
elbandido team	http://cast.accessweb.be:3250/stream	0
falcon radio  piraat	http://falconradio.stream-server.nl:8926/;stream.mp3	0
Zolderpiraten	http://server-24.stream-server.nl:8410/stream	0
firma b&m	http://server-67.stream-server.nl:8776/stream	0
firma geluk in tuk  piraat	http://piratenstreams.nl:9016/stream	0
Leeuwarder Piraten van Toen	http://server-26.stream-server.nl:8644/stream	0
Panter Radio	http://streampointnederland.ddns.net:10402/live	0
delta piraat	http://stream.deltafm.nl:8123/listen.pls	0
etherpiraten.org  server 1	http://srv1.marinuske.nl:8000/stream	0
etherpiraten.org  server 2	http://srv2.marinuske.nl:8000/stream	0
Nachtpiraat	http://stream.nachtpiraat.nl:8000/radio.mp3	0
Hi Radio NL	http://radio.garden/api/ara/content/listen/RZ9_k0uU/channel.mp3	0
Piratenfamilie.nl	http://server-27.stream-server.nl:8726/stream	0
Piratenhits.FM	http://mscp3.live-streams.nl:8330/radio	0
allsound radio	http://kathy.torontocast.com:2490/stream	0
Nickyfm.nl	http://caster02.streampakket.com:8272/stream	0
Omroep Eemsdelta 105.4 FM	http://audio-edge-5bkfj.fra.h.radiomast.io/063fcf6f-4083-4c4e-85a8-31b0a709f40d	0
blue star radio	http://philae.shoutca.st:8571/stream	0
centraal hits	http://server-26.stream-server.nl:8738/;	0
Havenstad Radio	http://mediaserv33.live-streams.nl:8056/stream/	0
Maasland Radio	http://54.36.89.71:8006/;stream.mp3	0
80 's hits	http://s22.myradiostream.com:7728/listen.mp3	0
192 radio	http://server-14.stream-server.nl:8030/;stream/1	0
absoluut fm	http://absoluutfm.stream.laut.fm/absoluutfm	0
abtt adje bauwman hits	http://server-06.stream-server.nl:8600/;stream/1	0
afc amsterdam	http://stream.afc.fm:8504/listen.pls	0
oldies channel	http://radio.alloldieschannel.com:8000/stream	0
rtv oost alles plat	http://streams.rtvoost.nl/audio/allesplat/aac	0
amsterdam funk	http://sidebar.piratenzenders.com/Groningen-9.pls	0
bbg	http://86.94.213.59:8000/listen.pls	0
coastline fm	http://onair.coastlinefm.nl/listen.pls	0
cool dance	http://94.228.133.3:8360/stream/1/;	0
radio ccr	http://server-11.stream-server.nl:8518/stream	0
dance radio amsterdam	http://stream.danceradio.nl:9920	0
dance radio den haag	http://server5.radio-streams.net:8065/stream	0
extream 90.6	http://176.31.118.194:19580/;	0
decibel radio	http://stream.db962.nl:8030/listen.pls?sid=1	0
deep radio	http://stream.deep.radio/hd	0
delta radio nijmegen	http://streamdelta.lokaalradio.nl:9005/;stream.nsv	0
desizone radio	http://www.desizone.nl:8000/;	0
dfm int. amsterdam	http://stereo.dfm.nu	0
disco net	http://streams.radiomast.io/9f9702d0-ac14-48aa-b7cf-909db540365b	0
disco radio action	http://stream.iceradio.nl/discoradioaction	0
dizgo radio	http://mediaserv30.live-streams.nl:2199/tunein/dizgoradio.pls	0
extra gold	http://stream.extragold.nl:8210/listen.pls	0
fantasie radio	http://italo.live-streams.nl/live	0
fidelio radio	http://server3.radio-streams.net:8025/stream	0
focus 103	http://f103.nl/mp3	0
free radio emmen	http://stream.laut.fm/fre.pls	0
freezfm	http://stream.freezfm.nl/freezfm	0
groenstad radio	http://213.202.241.176:8564/stream	0
